Constraint;p_value;Measure_VAR1;Measure_VAR2;ABS-Difference;Natural_Language_Description
Participation(Payment Order);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Payment Order] occurs in a process instance. "
Succession(Receive Claim,Execute Payment);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Receive Claim] is followed by [Execute Payment] and [Execute Payment] is preceded by [Receive Claim]. "
RespondedExistence(Receive Claim,Accept Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Receive Claim] occurs, also [Accept Claim] occurs. "
Response(Receive Claim,Payment Order);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Receive Claim] occurs, [Payment Order] will occur afterwards. "
CoExistence(Accept Claim,Receive Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Accept Claim] and [Receive Claim] co-occur. "
CoExistence(Receive Claim,Accept Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Receive Claim] and [Accept Claim] co-occur. "
Participation(Execute Payment);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Execute Payment] occurs in a process instance. "
CoExistence(Payment Order,Start Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Payment Order] and [Start Claim] co-occur. "
AlternateResponse(Start Claim,Payment Order);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Start Claim] occurs, [Payment Order] will occur afterwards without any other occurrence of [Start Claim] in between. "
CoExistence(Start Claim,Execute Payment);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Start Claim] and [Execute Payment] co-occur. "
AlternateResponse(Start Claim,Accept Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Start Claim] occurs, [Accept Claim] will occur afterwards without any other occurrence of [Start Claim] in between. "
CoExistence(Accept Claim,Start Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Accept Claim] and [Start Claim] co-occur. "
RespondedExistence(Receive Claim,Execute Payment);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Receive Claim] occurs, also [Execute Payment] occurs. "
RespondedExistence(Start Claim,Accept Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Start Claim] occurs, also [Accept Claim] occurs. "
CoExistence(Payment Order,Receive Claim);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Payment Order] and [Receive Claim] co-occur. "
RespondedExistence(Receive Claim,Payment Order);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that if [Receive Claim] occurs, also [Payment Order] occurs. "
Succession(Receive Claim,Payment Order);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Receive Claim] is followed by [Payment Order] and [Payment Order] is preceded by [Receive Claim]. "
Succession(Start Claim,Execute Payment);0.001;0.484;0.988;0.504;"In variant 2 it is 50.4% more likely than variant1 that [Start Claim] is followed by [Execute Payment] and [Execute Payment] is preceded by [Start Claim]. "
