Constraint;Support;Confidence;Recall;Lovinger;Specificity;Accuracy;Lift;Leverage;Compliance;Odds Ratio;Gini Index;Certainty factor;Coverage;Prevalence;Added Value;Relative Risk;Jaccard;Ylue Q;Ylue Y;Klosgen;Conviction;Interestingness Weighting Dependency;Collective Strength;Laplace Correction;J Measure;One-way Support;Two-way Support;Two-way Support Variation;Linear Correlation Coefficient;Piatetsky-Shapiro;Cosine;Information Gain;Sebag-Schoenauer;Least Contradiction;Odd Multiplier;Example and Counterexample Rate;Zhang
AtMostOne(Accept Claim);0.054696143;1.0;0.095914125;-Infinity;0.4546041;0.48443452;1.7535812;0.9688089;1.0;Infinity;0.021370288;1.0;0.054696143;0.5702616;0.4297384;1.8335301;0.095914125;1.0;1.0;0.10050381;Infinity;0.0062078517;1.3348637;0.96679264;NaN;0.8103042;0.044320516;NaN;0.2088132;0.023505032;0.30970004;0.56166005;Infinity;0.095914125;Infinity;1.0;1.0
AtMostOne(Receive Claim);1.9455253E-4;1.0;1.9489379E-4;-Infinity;0.0017513133;0.0019455252;1.001754;0.9998058;1.0;Infinity;2.981509E-8;1.0;1.9455253E-4;0.998249;0.0017510056;1.0017544;1.9489379E-4;1.0;1.0;2.4423392E-5;Infinity;1.3290011E-10;1.0005264;0.52380955;NaN;0.002528336;4.918942E-7;NaN;5.842332E-4;3.4066034E-7;0.013960437;0.0017525089;Infinity;1.9489379E-4;Infinity;1.0;1.0000123
Init(Receive Claim);0.0;0.0;0.0;1.9443035E-4;0.9997625;0.8186486;0.0;-3.5244313E-5;0.8188442;0.0;-1.1562292E-6;-1.945904E-4;0.18115577;1.9455253E-4;-1.9455253E-4;0.0;0.0;-1.0;-1.0;-0.0;0.99980557;-0.0;931.97815;0.010513692;NaN;NaN;NaN;NaN;-0.0065612476;-3.5244313E-5;0.0;-Infinity;0.0;-931.1407;0.0;-Infinity;-1.0
AtMostOne(Start Claim);0.0;NaN;0.0;NaN;0.0;0.0;NaN;NaN;1.0;NaN;NaN;NaN;0.0;1.0;NaN;NaN;0.0;NaN;NaN;NaN;NaN;NaN;NaN;0.5;NaN;NaN;NaN;NaN;NaN;0.0;NaN;NaN;NaN;0.0;NaN;NaN;NaN
Participation(Start Claim);0.0;0.0;NaN;0.0;1.0;0.81884307;NaN;0.0;0.8188442;NaN;-1.1622906E-6;0.0;0.18115577;0.0;0.0;NaN;0.0;NaN;NaN;NaN;1.0;NaN;Infinity;0.010513692;NaN;NaN;NaN;NaN;NaN;0.0;NaN;NaN;0.0;-Infinity;NaN;-Infinity;NaN
Succession(Accept Claim,Execute Payment);0.21335337;1.0;1.0;-Infinity;1.0;0.9999974;4.68706;0.95448035;1.0;Infinity;0.3356689;1.0;0.21335337;0.21335337;0.7866466;Infinity;1.0;1.0;1.0;0.36335355;Infinity;0.95448035;-2.8735538;0.9910445;NaN;2.2286832;0.47549707;NaN;1.0000033;0.16783372;1.0;1.5448055;Infinity;1.0;Infinity;1.0;1.0000033
Succession(Accept Claim,Payment Order);0.0;0.0;NaN;0.0;1.0;0.76414615;NaN;0.0;0.7641487;NaN;-2.5480986E-6;0.0;0.2358513;0.0;0.0;NaN;0.0;NaN;NaN;NaN;1.0;NaN;Infinity;0.008115067;NaN;NaN;NaN;NaN;NaN;0.0;NaN;NaN;0.0;-Infinity;NaN;-Infinity;NaN
NotSuccession(Accept Claim,Receive Claim);0.05450159;0.99291134;1.0;-132.3804;1.0;0.9996095;18.218025;0.9899197;0.9996109;Infinity;0.10229082;0.99250275;0.054890692;0.05450159;0.93840975;Infinity;0.9929112;1.0;1.0;0.22064121;133.3804;0.98290247;-2.2315905;0.9602831;0.15628207;4.1576123;0.22821422;NaN;0.99624574;0.051509958;0.99644935;2.9024115;140.06909;0.9928606;2429.9272;0.9928607;0.99958986
NotSuccession(Accept Claim,Start Claim);0.054696143;1.0;1.0;-Infinity;1.0;0.9999986;18.282825;0.9970083;1.0;Infinity;0.10341017;1.0;0.054696143;0.054696143;0.94530386;Infinity;1.0;1.0;1.0;0.22108017;Infinity;0.9970084;-2.2240603;0.96679264;NaN;4.192417;0.22930905;NaN;1.0000014;0.051704474;1.0;2.9059622;Infinity;1.0;Infinity;1.0;1.0000014
CoExistence(Execute Payment,Accept Claim);0.21335337;1.0;1.0;-Infinity;1.0;0.9999974;4.68706;0.95448035;1.0;Infinity;0.3356689;1.0;0.21335337;0.21335337;0.7866466;Infinity;1.0;1.0;1.0;0.36335355;Infinity;0.95448035;-2.8735538;0.9910445;NaN;2.2286832;0.47549707;NaN;1.0000033;0.16783372;1.0;1.5448055;Infinity;1.0;Infinity;1.0;1.0000033
