Constraint;Support;Confidence;Recall;Lovinger;Specificity;Accuracy;Lift;Leverage;Compliance;Odds Ratio;Gini Index;Certainty factor;Coverage;Prevalence;Added Value;Relative Risk;Jaccard;Ylue Q;Ylue Y;Klosgen;Conviction;Interestingness Weighting Dependency;Collective Strength;Laplace Correction;J Measure;One-way Support;Two-way Support;Two-way Support Variation;Linear Correlation Coefficient;Piatetsky-Shapiro;Cosine;Information Gain;Sebag-Schoenauer;Least Contradiction;Odd Multiplier;Example and Counterexample Rate;Zhang
AtMostOne(Accept Claim);0.054696143;1.0;0.095914125;-Infinity;0.4546041;0.48443452;1.7535812;0.9688089;1.0;Infinity;0.021370288;1.0;0.054696143;0.5702616;0.4297384;1.8335301;0.095914125;1.0;1.0;0.10050381;Infinity;0.0062078517;1.3348637;0.96679264;NaN;0.8103042;0.044320516;NaN;0.2088132;0.023505032;0.30970004;0.56166005;Infinity;0.095914125;Infinity;1.0;1.0
AtMostOne(Block Claim 2);0.12256812;1.0;0.19811326;-Infinity;0.4345901;0.50389117;1.6163523;0.9241699;1.0;Infinity;0.040624004;1.0;0.12256812;0.618677;0.38132298;1.7686267;0.19811326;1.0;1.0;0.13350014;Infinity;0.024225922;1.8073956;0.9846154;NaN;0.6927417;0.08490805;NaN;0.29342467;0.046738043;0.44509917;0.48017195;Infinity;0.19811326;Infinity;1.0;0.99999976
Absence(Block Claim 3);0.17442746;0.962859;0.17967077;0.21426421;0.027422352;0.19688207;0.9918027;0.78698987;0.9932717;0.7309565;2.661831E-5;-0.27270034;0.18115577;0.97081715;-0.007958174;0.9900074;0.17843412;-0.15543053;-0.078190394;-6.2020513E-4;0.7857358;-4.9676077E-4;1.0130737;0.95312625;1.866715E-4;-0.011433905;-0.002071318;3.3508E-4;-0.022238366;-0.0014416575;0.41592982;-0.00823109;25.924541;0.17274024;0.77929485;0.9614265;-0.22070943
Absence(Correct Claim);0.17998844;0.9935562;0.18097429;0.15460646;0.005227077;0.1842686;0.99899817;0.8133873;0.9988327;0.81019837;-6.2734784E-7;-0.18290241;0.18115577;0.99455255;-9.963512E-4;0.9987768;0.18076213;-0.10485128;-0.05257053;-7.69935E-5;0.84539354;-6.487805E-5;1.0038952;0.983178;1.5644986E-5;-0.0014367485;-2.602753E-4;2.8089957E-5;-0.0063669886;-1.8049777E-4;0.42403787;-0.0010023371;154.1901;0.17980058;0.8445466;0.9935145;-0.15547335
AtMostOne(Receive Claim);0.18115577;1.0;1.0;-Infinity;1.0;0.9999988;5.5201116;0.9671826;1.0;Infinity;0.29667747;1.0;0.18115577;0.18115577;0.8188442;Infinity;1.0;1.0;1.0;0.3485197;Infinity;0.9671827;-2.7503462;0.98948634;NaN;2.4646974;0.44649416;NaN;1.0000014;0.14833836;1.0;1.7083981;Infinity;1.0;Infinity;1.0;1.0000014
Init(Receive Claim);0.18115577;1.0;1.0;-Infinity;1.0;0.9999988;5.5201116;0.9671826;1.0;Infinity;0.29667747;1.0;0.18115577;0.18115577;0.8188442;Infinity;1.0;1.0;1.0;0.3485197;Infinity;0.9671827;-2.7503462;0.98948634;NaN;2.4646974;0.44649416;NaN;1.0000014;0.14833836;1.0;1.7083981;Infinity;1.0;Infinity;1.0;1.0000014
Participation(Receive Claim);0.18115577;1.0;1.0;-Infinity;1.0;0.9999988;5.5201116;0.9671826;1.0;Infinity;0.29667747;1.0;0.18115577;0.18115577;0.8188442;Infinity;1.0;1.0;1.0;0.3485197;Infinity;0.9671827;-2.7503462;0.98948634;NaN;2.4646974;0.44649416;NaN;1.0000014;0.14833836;1.0;1.7083981;Infinity;1.0;Infinity;1.0;1.0000014
Absence(Receive Objection 1);0.1809612;0.998926;0.181208;-0.26809025;0.0014255664;0.18212852;1.0002882;0.81801695;0.99980545;1.32787;-8.7298247E-7;0.21138781;0.18115577;0.9986381;2.8789043E-4;1.0003519;0.1811727;0.14084552;0.07077552;1.2246726E-4;1.2680902;1.8881216E-5;1.0024362;0.98843485;5.945617E-6;4.1534755E-4;7.5242606E-5;1.0463973E-5;0.0036718945;5.2154064E-5;0.42545667;2.8820653E-4;930.1406;0.18101318;1.2684559;0.9989249;0.2116254
Absence(Receive Objection 2);0.1690935;0.93341494;0.17994629;0.09422088;0.058923393;0.21734253;0.9933235;0.7631849;0.98793775;0.8777303;1.6813003E-5;-0.1040238;0.18115577;0.93968874;-0.006273806;0.9918582;0.1776657;-0.0651157;-0.03259243;-4.973511E-4;0.9057791;-3.8052234E-4;1.0495541;0.9243014;6.0940547E-5;-0.009020937;-0.0016341949;1.0844536E-4;-0.012395599;-0.0011365414;0.40983477;-0.0066988827;14.018401;0.16710986;0.89973176;0.92866516;-0.100270405
AtMostOne(Reject Claim);0.12217902;0.9936709;0.19760859;-59.310535;0.43433928;0.503113;1.6071328;0.9176479;0.9992218;120.55144;0.039510686;0.9834191;0.12295723;0.618288;0.3753829;1.7566534;0.19736019;0.983546;0.8330494;0.13121177;60.310535;0.023628714;1.7998435;0.97852767;0.054777768;0.68015695;0.08363021;0.08633894;0.28931957;0.04615604;0.4431229;0.47445172;157.00003;0.19634993;96.92704;0.9936306;0.98968256
