Constraint;Quality-Measure;Mean;Geometric-Mean;Variance;Population-variance;Standard-Deviation;Max;Min
AtMostOne(Accept Claim);Support;0.05469628235013569;0.0;0.003237308666627916;0.0032310104007395347;0.05689735201771622;0.1666666716337204;0.0
AtMostOne(Accept Claim);Confidence;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Recall;0.4844357976653698;0.0;0.25024461282908955;0.24975775560568664;0.5002445530229085;1.0;0.0
AtMostOne(Accept Claim);Lovinger;NaN;NaN;NaN;NaN;NaN;1.401298464324817E-45;1.401298464324817E-45
AtMostOne(Accept Claim);Specificity;0.4844357976653698;0.0;0.25024461282908955;0.24975775560568664;0.5002445530229085;1.0;0.0
AtMostOne(Accept Claim);Accuracy;0.4844357976653698;0.0;0.25024461282908955;0.24975775560568664;0.5002445530229085;1.0;0.0
AtMostOne(Accept Claim);Lift;NaN;NaN;NaN;NaN;NaN;9.999999046325684;5.999999523162842
AtMostOne(Accept Claim);Leverage;NaN;NaN;NaN;NaN;NaN;0.9900000095367432;0.9722222089767456
AtMostOne(Accept Claim);Compliance;1.0;1.0;0.0;0.0;0.0;1.0;1.0
AtMostOne(Accept Claim);Odds Ratio;NaN;NaN;NaN;NaN;NaN;3.4028234663852886E38;3.4028234663852886E38
AtMostOne(Accept Claim);Gini Index;NaN;NaN;NaN;NaN;NaN;0.2777777910232544;0.18000002205371857
AtMostOne(Accept Claim);Certainty factor;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Coverage;0.05469628235013569;0.0;0.003237308666627916;0.0032310104007395347;0.05689735201771622;0.1666666716337204;0.0
AtMostOne(Accept Claim);Prevalence;0.5702604846847658;0.3471218779195958;0.19697309177725372;0.19658987564539135;0.4438165068778467;1.0;0.10000000149011612
AtMostOne(Accept Claim);Added Value;NaN;NaN;NaN;NaN;NaN;0.8999999761581421;0.8333333134651184
AtMostOne(Accept Claim);Relative Risk;NaN;NaN;NaN;NaN;NaN;3.4028234663852886E38;3.4028234663852886E38
AtMostOne(Accept Claim);Jaccard;0.4844357976653698;0.0;0.25024461282908955;0.24975775560568664;0.5002445530229085;1.0;0.0
AtMostOne(Accept Claim);Ylue Q;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Ylue Y;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Klosgen;NaN;NaN;NaN;NaN;NaN;0.34020689129829407;0.2846049964427948
AtMostOne(Accept Claim);Conviction;NaN;NaN;NaN;NaN;NaN;3.4028234663852886E38;3.4028234663852886E38
AtMostOne(Accept Claim);Interestingness Weighting Dependency;NaN;NaN;NaN;NaN;NaN;0.9899998307228088;0.9722221493721008
AtMostOne(Accept Claim);Collective Strength;NaN;NaN;NaN;NaN;NaN;-2.4146347045898438;-2.692307472229004
AtMostOne(Accept Claim);Laplace Correction;0.5807393092357697;0.5747709462594007;0.006951240902557167;0.006937717087571647;0.08337410210945104;0.6666666865348816;0.5
AtMostOne(Accept Claim);J Measure;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AtMostOne(Accept Claim);One-way Support;NaN;NaN;NaN;NaN;NaN;3.321928024291992;2.5849623680114746
AtMostOne(Accept Claim);Two-way Support;NaN;NaN;NaN;NaN;NaN;0.4308270812034607;0.3321928083896637
AtMostOne(Accept Claim);Two-way Support Variation;NaN;NaN;NaN;NaN;NaN;NaN;NaN
AtMostOne(Accept Claim);Linear Correlation Coefficient;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Piatetsky-Shapiro;0.048473588745417774;0.0;0.002530206257754119;0.0025252836774861146;0.05030115563040395;0.1388888955116272;0.0
AtMostOne(Accept Claim);Cosine;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Information Gain;NaN;NaN;NaN;NaN;NaN;2.3025848865509033;1.7917593717575073
AtMostOne(Accept Claim);Sebag-Schoenauer;NaN;NaN;NaN;NaN;NaN;3.4028234663852886E38;3.4028234663852886E38
AtMostOne(Accept Claim);Least Contradiction;0.4844357976653698;0.0;0.25024461282908955;0.24975775560568664;0.5002445530229085;1.0;0.0
AtMostOne(Accept Claim);Odd Multiplier;NaN;NaN;NaN;NaN;NaN;3.4028234663852886E38;3.4028234663852886E38
AtMostOne(Accept Claim);Example and Counterexample Rate;NaN;NaN;NaN;NaN;NaN;1.0;1.0
AtMostOne(Accept Claim);Zhang;NaN;NaN;NaN;NaN;NaN;1.0000001192092896;1.0
AtMostOne(Block Claim 2);Support;0.12256809358814817;0.0;0.014967271214200929;0.01493815200950404;0.12234079946690282;0.25;0.0
AtMostOne(Block Claim 2);Confidence;NaN;NaN;NaN;NaN;NaN;1.0;1.0
